Scheme_Name	Net_Asset_Value
Sundaram Banking & PSU Debt Fund - Direct Growth	11.7065
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Debt Fund - Regular Growth	11.6493
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend	11.0236
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus	18.6618
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking and PSU Debt Fund Direct Plan - Growth	37.3036
Sundaram Banking and PSU Debt Fund Direct Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5474
Sundaram Banking and PSU Debt Fund Regular Plan - Bonus	18.6018
Sundaram Banking and PSU Debt Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking and PSU Debt Fund Regular Plan - Growth	36.8884
Sundaram Banking and PSU Debt Fund Regular Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5998
Sundaram Banking and PSU Debt Fund Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1124
Sundaram Banking and PSU Debt Fund Retail Plan - Growth	33.2443
Sundaram Banking and PSU Debt Fund Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.5044
SundaramBanking&PSUDebtFund-RegularDailyDividendReinvestment	11.6582
Tata Banking & PSU Debt Fund  Direct Plan - Payout of Income Distribution cum capital withdrawal option 	12.5979
Tata Banking & PSU Debt Fund  Direct Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.5979
Tata Banking & PSU Debt Fund Regular Plan - Payout of Income Distribution cum capital withdrawal option 	12.3683
Tata Banking & PSU Debt Fund Regular Plan - Reinvestment of Income Distribution cum capital withdrawal option 	12.3683
Tata Banking & PSU Debt Fund-Direct Plan-Growth	12.5979
Tata Banking & PSU Debt Fund-Regular Plan-Growth	12.3683
TRUSTMF BANKING & PSU DEBT FUND - DIRECT GROWTH	1105.1851
TRUSTMF BANKING & PSU DEBT FUND - REGULAR GROWTH	1092.3507
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1034.9064
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1108.408
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1033.2273
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1048.801
TRUSTMF BANKING & PSU DEBT FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1026.4016
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1022.3291
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1094.693
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1025.8671
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1037.2
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1021.9683
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW	12.2091
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW	16.4985
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option	19.1458
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW	12.7047
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	12.6767
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW	14.25
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW	12.0661
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW	12.6931
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW	12.6402
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	12.5521
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW	12.9894
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option	18.9281
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	97.1752
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	95.9127
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	11.0685
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.4978
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.4786
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.3563
Aditya Birla Sun Life Income Fund-Plan A(Dividend)	11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend)	10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth)	35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend)	15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth)	35.0763
Axis Corporate Debt Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW	10.2064
Axis Corporate Debt Fund - Direct Plan - Regular IDCW	12.9448
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW	10.3766
Axis Corporate Debt Fund - Direct Plan Growth	15.2533
Axis Corporate Debt Fund - Regular Plan - Daily IDCW	10.2347
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW	10.2021
Axis Corporate Debt Fund - Regular Plan - Regular IDCW	12.3175
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW	10.2577
Axis Corporate Debt Fund - Regular Plan Growth	14.5950
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.3008
BANDHAN Corporate Bond Fund - Direct Growth	16.8432
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.5102
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3432
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	11.1745
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.5131
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.2919
BANDHAN Corporate Bond Fund - Regular Growth	16.4642
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	10.9146
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.5966
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	11.0990
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.5544
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	10.5191
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	27.1883
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.2058
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.2997
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	10.6856
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	24.7897
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.2854
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.4894
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	10.4561
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	23.4930
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.2381
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.3773
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	19.9877
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.0993
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	18.9068
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.4473
DSP Corporate Bond Fund - Direct - Growth	13.9406
DSP Corporate Bond Fund - Direct - IDCW	11.3828
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.4461
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.3768
DSP Corporate Bond Fund - Regular - Growth	13.7753
DSP Corporate Bond Fund - Regular - IDCW	11.3581
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.4277
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.7304
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	90.8091
Franklin India Corporate Debt Fund - Growth	84.8173
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	16.4090
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	18.3523
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.7137
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	16.5755
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.7129
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.8438
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	14.8819
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.2513
HDFC Corporate Bond Fund - Growth Option	27.6916
HDFC Corporate Bond Fund - Growth Option - Direct Plan	28.1522
HDFC Corporate Bond Fund - IDCW Option	17.9394
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	18.4243
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.4998
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.3404
HSBC Corporate Bond Fund - Direct Annual IDCW	11.9889
HSBC Corporate Bond Fund - Direct Growth	66.6159
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.5835
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.1855
HSBC Corporate Bond Fund - Regular Annual IDCW	11.8106
HSBC Corporate Bond Fund - Regular Growth	62.9801
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.2290
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	17.0376
HSBC Corporate Bond Fund -Regular Plan - Bonus	23.9233
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	26.4782
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2287
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.2122
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	25.3952
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.3833
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.0042
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
ICICI Prudential Corporate Bond Fund Retail Quarterly Dividend	10.9335
ICICI Prudential Corporate Bond Fund Retail Weekly Dividend	10.2202
Invesco India Corporate Bond Fund - Annual IDCW (Payout / Reinvestment)	1679.223
Invesco India Corporate Bond Fund - Direct Plan - Annual IDCW (Payout / Reinvestment)	1242.3854
Invesco India Corporate Bond Fund - Direct Plan - Discretionary IDCW (Payout / Reinvestment)	2891.7779
Invesco India Corporate Bond Fund - Direct Plan - Growth	2890.862
Invesco India Corporate Bond Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	1256.397
Invesco India Corporate Bond Fund - Direct Plan - Quarterly IDCW (Payout / Reinvestment)	1171.8063
Invesco India Corporate Bond Fund - Discretionary IDCW (Payout / Reinvestment)	2854.1576
Invesco India Corporate Bond Fund - Growth	2718.9678
Invesco India Corporate Bond Fund - Monthly IDCW (Payout / Reinvestment)	1558.4223
Invesco India Corporate Bond Fund - Quarterly IDCW (Payout / Reinvestment)	1169.6156
Kotak Coporate Bond Fund- Retail Plan-Growth Option	2034.9063
Kotak Corporate Bond Fund- Direct Plan- Growth Option	3337.375
Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option	1077.1737
Kotak Corporate Bond Fund- Institutional Plan-Growth Option	2090.4924
Kotak Corporate Bond Fund- Regular Plan-Growth Option	3218.5128
Kotak Corporate Bond Fund- Regular Plan-Monthly Dividend Option	1048.467
Kotak Corporate Bond Fund- Regular Plan-Quarterly Dividend Option	1066.6837
Kotak Corporate Bond Fund- Retail Plan- Monthly Dividend Option	1040.0538
Kotak Corporate Bond Fund- Retail Plan- Weekly Dividend Option	1052.3061
Kotak Corporate Bond Fund- Retail Plan-Daily Dividend Option	1052.6393
Kotak Corporate Bond Fund- Standard Plan-Daily Dividend Option	1052.7994
Kotak Corporate Bond Fund- Standard Plan-Weekly Dividend Option	1202.9939
Mirae Asset Corporate Bond Fund Direct Growth Plan	11.1166
Mirae Asset Corporate Bond Fund Direct IDCW	11.1152
Mirae Asset Corporate Bond Fund Regular Growth	11.0079
Mirae Asset Corporate Bond Fund Regular IDCW	11.0077
NIPPON INDIA CORPORATE BOND FUND - DAILY IDCW Option	17.0958
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - DAILY IDCW Option	17.0959
NIPPON INDIA CORPORATE BOND FUND - DIRECT Plan - IDCW Option	16.8505
